frame_idx,frame_name,x_px,y_px
1,frame_000001.jpg,782,362
1,frame_000001.jpg,783,362
2,frame_000002.jpg,784,360
3,frame_000003.jpg,784,360
5,frame_000005.jpg,784,360
6,frame_000006.jpg,786,360
7,frame_000007.jpg,788,361
7,frame_000007.jpg,789,362
9,frame_000009.jpg,792,360
10,frame_000010.jpg,794,359
11,frame_000011.jpg,795,360
11,frame_000011.jpg,799,360
13,frame_000013.jpg,801,361
14,frame_000014.jpg,802,360
15,frame_000015.jpg,804,359
15,frame_000015.jpg,805,359
16,frame_000016.jpg,806,358
18,frame_000018.jpg,809,356
19,frame_000019.jpg,811,355
20,frame_000020.jpg,811,356
28,frame_000028.jpg,428,364
30,frame_000030.jpg,428,363
31,frame_000031.jpg,427,362
32,frame_000032.jpg,428,362
33,frame_000033.jpg,427,361
33,frame_000033.jpg,427,362
35,frame_000035.jpg,428,362
36,frame_000036.jpg,427,362
37,frame_000037.jpg,427,361
39,frame_000039.jpg,427,362
40,frame_000040.jpg,426,362
40,frame_000040.jpg,426,361
41,frame_000041.jpg,426,362
43,frame_000043.jpg,427,362
44,frame_000044.jpg,428,360
45,frame_000045.jpg,428,360
45,frame_000045.jpg,427,360
46,frame_000046.jpg,427,359
48,frame_000048.jpg,428,359
49,frame_000049.jpg,428,359
49,frame_000049.jpg,429,357
50,frame_000050.jpg,431,356
52,frame_000052.jpg,433,363
52,frame_000052.jpg,434,365
53,frame_000053.jpg,433,367
53,frame_000053.jpg,430,366
54,frame_000054.jpg,427,364
56,frame_000056.jpg,425,357
57,frame_000057.jpg,428,354
57,frame_000057.jpg,430,353
58,frame_000058.jpg,433,352
60,frame_000060.jpg,433,352
61,frame_000061.jpg,434,353
62,frame_000062.jpg,435,353
63,frame_000063.jpg,435,352
63,frame_000063.jpg,436,352
65,frame_000065.jpg,436,351
66,frame_000066.jpg,437,352
67,frame_000067.jpg,437,351
67,frame_000067.jpg,436,350
69,frame_000069.jpg,437,350
70,frame_000070.jpg,437,351
71,frame_000071.jpg,435,352
73,frame_000073.jpg,435,352
73,frame_000073.jpg,435,352
74,frame_000074.jpg,435,352
75,frame_000075.jpg,435,352
76,frame_000076.jpg,436,352
78,frame_000078.jpg,435,352
78,frame_000078.jpg,435,352
79,frame_000079.jpg,434,352
80,frame_000080.jpg,435,352
82,frame_000082.jpg,436,352
82,frame_000082.jpg,435,353
82,frame_000082.jpg,435,353
83,frame_000083.jpg,435,354
84,frame_000084.jpg,434,354
86,frame_000086.jpg,435,354
86,frame_000086.jpg,434,354
87,frame_000087.jpg,434,355
88,frame_000088.jpg,434,354
90,frame_000090.jpg,435,354
90,frame_000090.jpg,434,354
91,frame_000091.jpg,434,355
92,frame_000092.jpg,434,354
93,frame_000093.jpg,434,354
93,frame_000093.jpg,435,354
95,frame_000095.jpg,435,353
96,frame_000096.jpg,436,353
97,frame_000097.jpg,436,353
99,frame_000099.jpg,435,353
100,frame_000100.jpg,435,353
100,frame_000100.jpg,434,353
101,frame_000101.jpg,434,354
101,frame_000101.jpg,435,353
103,frame_000103.jpg,436,353
104,frame_000104.jpg,435,353
105,frame_000105.jpg,435,353
106,frame_000106.jpg,435,353
108,frame_000108.jpg,434,354
108,frame_000108.jpg,435,354
109,frame_000109.jpg,435,354
110,frame_000110.jpg,435,355
112,frame_000112.jpg,436,355
113,frame_000113.jpg,435,356
114,frame_000114.jpg,435,356
114,frame_000114.jpg,435,354
116,frame_000116.jpg,436,354
117,frame_000117.jpg,436,355
118,frame_000118.jpg,436,355
118,frame_000118.jpg,436,355
120,frame_000120.jpg,437,357
121,frame_000121.jpg,437,357
121,frame_000121.jpg,436,358
122,frame_000122.jpg,436,356
123,frame_000123.jpg,436,357
125,frame_000125.jpg,435,355
126,frame_000126.jpg,435,355
