start_frame,end_frame,duration_frames,x,y
1,20,20,777.952380952381,359.7142857142857
28,147,119,433.55833333333334,356.31666666666666
147,159,12,454.15384615384613,367.38461538461536
176,181,6,493.57142857142856,357.0
181,183,3,416.5,350.75
185,189,5,388.8333333333333,326.3333333333333
190,202,13,378.7857142857143,328.42857142857144
202,215,14,429.6666666666667,328.93333333333334
216,251,36,424.27027027027026,321.97297297297297
253,267,15,490.875,313.0625
268,276,9,409.4,285.9
276,284,8,426.44444444444446,325.22222222222223
285,292,8,455.8888888888889,323.3333333333333
294,301,7,491.75,349.375
302,303,3,481.25,323.0
305,319,15,434.0,317.8125
320,327,9,543.0,338.5
328,331,4,489.6,339.8
332,337,6,466.85714285714283,332.42857142857144
339,350,12,422.0,334.6923076923077
350,358,9,422.9,338.7
362,366,5,529.6666666666666,361.5
369,375,8,425.3333333333333,348.3333333333333
376,380,5,450.8333333333333,344.6666666666667
391,397,7,455.375,284.0
399,401,3,463.5,328.0
403,408,7,462.75,350.25
409,418,11,449.0,313.9166666666667
420,440,22,460.30434782608694,346.6521739130435
442,448,8,451.6666666666667,338.55555555555554
450,452,3,347.5,350.75
464,486,10,482.3636363636364,338.45454545454544
486,490,4,488.2,346.0
491,495,5,444.5,354.5
496,500,4,396.2,406.4
502,502,3,413.5,393.25
503,511,8,442.22222222222223,385.6666666666667
512,516,6,444.14285714285717,392.14285714285717
517,523,6,433.14285714285717,364.14285714285717
525,534,11,372.1666666666667,376.9166666666667
537,553,15,464.9375,366.4375
554,579,27,395.2857142857143,370.9642857142857
580,585,5,490.3333333333333,411.6666666666667
585,592,7,474.625,418.625
592,598,8,404.1111111111111,400.55555555555554
600,603,4,415.2,372.6
605,613,9,470.2,352.6
614,628,16,442.47058823529414,368.4117647058824
628,637,9,520.3,364.6
637,645,8,538.3333333333334,373.3333333333333
648,660,14,441.4,367.53333333333336
662,663,3,588.0,384.5
676,690,15,441.75,353.9375
690,699,9,402.9,369.3
700,712,13,333.7857142857143,349.5
714,725,12,488.0769230769231,324.0769230769231
726,739,13,452.7857142857143,285.57142857142856
752,756,5,355.6666666666667,316.1666666666667
759,766,9,142.5,313.3
768,778,11,471.25,325.75
778,781,4,561.6,330.4
782,799,8,541.4444444444445,343.1111111111111
800,824,13,532.7142857142857,332.42857142857144
826,834,9,649.9,306.3
834,838,3,623.75,249.0
840,843,4,408.2,65.8
845,846,3,422.25,110.25
858,862,6,510.42857142857144,330.7142857142857
863,872,11,602.1666666666666,327.75
873,880,7,694.0,317.5
883,888,7,507.75,331.375
900,909,10,508.1818181818182,309.3636363636364
910,915,6,486.7142857142857,330.2857142857143
916,922,8,477.0,323.6666666666667
937,957,11,457.25,330.5833333333333
958,987,12,450.61538461538464,341.84615384615387
988,1004,16,404.88235294117646,375.05882352941177
1005,1008,4,386.8,367.8
1020,1038,19,411.3,376.85
1039,1057,19,437.0,367.7
1057,1061,4,396.2,354.0
1061,1085,24,396.04,379.4
1085,1099,15,453.875,409.5
1113,1121,9,400.3,406.1
1123,1155,33,373.61764705882354,395.44117647058823
1155,1171,17,406.8888888888889,417.8888888888889
1172,1180,9,316.1,426.0
1181,1206,26,409.7037037037037,441.3333333333333
1215,1219,4,24.2,448.0
1222,1228,8,485.77777777777777,421.3333333333333
1241,1246,6,835.7142857142857,325.0
1249,1254,8,357.6666666666667,421.1111111111111
1273,1278,6,333.14285714285717,367.57142857142856
1279,1282,4,365.0,354.4
1282,1290,9,444.1,346.9
1291,1304,14,442.0,328.6
1305,1312,7,333.0,357.375
1312,1331,19,433.15,348.75
1333,1335,3,222.5,388.25
1347,1350,3,131.75,437.5
1363,1366,5,517.6666666666666,396.5
1368,1370,3,512.0,352.75
1372,1380,9,441.4,329.2
1380,1394,14,494.8,330.1333333333333
1395,1400,7,452.875,323.25
1412,1428,16,435.4117647058824,327.4117647058824
1430,1436,7,253.0,369.0
1437,1442,6,74.42857142857143,503.42857142857144
1454,1459,7,516.875,375.875
1460,1466,7,495.625,356.0
1470,1471,3,492.0,606.0
1483,1486,5,428.1666666666667,314.5
1502,1520,18,459.1578947368421,346.8421052631579
1522,1527,7,425.625,390.125
1541,1550,10,526.7272727272727,497.54545454545456
1552,1565,13,593.2142857142857,466.35714285714283
1566,1575,10,498.6363636363636,442.54545454545456
1580,1582,3,658.5,439.5
1593,1597,5,371.5,477.8333333333333
1599,1603,5,358.3333333333333,458.6666666666667
1604,1612,10,385.6363636363636,447.0
1613,1625,11,538.25,472.0
1625,1629,5,551.8333333333334,468.5
1631,1639,9,419.5,408.7
1640,1643,5,473.0,406.1666666666667
1644,1648,5,490.3333333333333,426.3333333333333
1651,1659,8,702.3333333333334,456.1111111111111
1672,1677,7,503.125,376.375
1677,1682,6,540.2857142857143,465.0
1686,1696,12,811.5384615384615,531.6923076923077
1707,1711,5,395.6666666666667,459.5
1712,1719,7,299.125,439.25
1751,1758,8,415.77777777777777,459.6666666666667
1759,1762,4,395.8,503.2
1763,1766,4,394.2,488.6
1767,1771,5,447.5,497.0
1772,1775,4,444.8,470.0
1777,1781,5,293.3333333333333,392.0
1783,1788,6,336.7142857142857,369.85714285714283
1788,1790,3,530.5,371.0
1792,1796,6,531.5714285714286,343.7142857142857
1797,1800,3,476.25,303.5
1801,1802,3,521.75,289.25
1810,1813,3,702.5,305.25
1813,1816,4,664.0,314.6
1819,1824,5,277.1666666666667,340.6666666666667
1824,1832,8,308.22222222222223,345.22222222222223
1833,1848,15,499.1875,392.0
1852,1856,5,221.66666666666666,355.8333333333333
1870,1878,8,382.22222222222223,362.8888888888889
1880,1896,18,274.2105263157895,288.1578947368421
1897,1904,7,307.125,291.125
1905,1910,6,525.4285714285714,414.2857142857143
1912,1929,19,487.45,398.0
1942,1957,18,77.78947368421052,320.0
1960,1973,15,339.75,316.6875
1976,1994,19,774.8,340.7
1996,1998,3,426.0,338.25
1999,2002,3,401.5,322.0
2019,2038,22,346.0,283.60869565217394
2040,2054,15,332.125,275.25
2064,2212,151,415.11842105263156,315.4342105263158
2213,2222,10,415.6363636363636,361.0
2223,2233,10,410.72727272727275,350.90909090909093
2238,2239,3,408.5,377.25
2242,2243,3,394.0,471.25
2244,2255,11,437.0833333333333,453.4166666666667
2260,2265,6,418.14285714285717,493.57142857142856
2266,2268,3,396.0,441.5
2283,2296,13,283.14285714285717,355.92857142857144
2298,2300,4,230.8,350.8
2302,2310,9,285.5,287.3
2334,2336,3,479.5,484.5
2340,2342,3,469.75,496.0
2343,2359,17,431.3888888888889,416.5
2360,2362,3,456.0,415.0
2364,2367,3,463.0,521.25
2368,2377,10,448.1818181818182,535.7272727272727
2381,2384,3,454.75,429.5
2385,2386,3,463.25,394.75
2388,2390,3,469.5,344.5
2390,2396,8,466.55555555555554,309.1111111111111
2402,2403,3,434.25,393.75
2405,2411,7,440.75,400.375
2413,2419,8,441.0,390.55555555555554
2420,2436,17,451.1111111111111,423.8888888888889
2436,2441,6,440.14285714285717,442.7142857142857
2443,2456,14,425.26666666666665,452.4
2456,2466,11,404.5833333333333,451.9166666666667
2467,2473,6,420.57142857142856,433.14285714285717
2475,2478,3,483.0,378.75
2479,2490,13,484.07142857142856,378.5
2491,2499,8,480.44444444444446,408.22222222222223
2500,2506,7,462.375,393.75
2523,2525,3,490.75,371.5
2526,2527,3,457.5,363.25
2531,2534,3,497.0,426.75
2548,2552,4,755.6,308.4
2564,2572,9,546.7,271.9
2577,2580,3,305.0,342.75
2626,2632,6,379.57142857142856,206.0
2632,2637,6,397.7142857142857,239.57142857142858
2640,2643,4,708.8,371.0
2645,2651,7,710.25,389.25
2672,2676,5,452.5,317.1666666666667
2683,2685,4,354.6,361.0
2690,2696,6,218.85714285714286,183.85714285714286
2739,2744,6,413.7142857142857,322.7142857142857
2754,2757,4,781.2,516.8
2760,2762,3,378.25,406.75
2766,2769,4,403.6,354.6
2776,2778,3,507.25,312.25
2812,2814,3,790.0,386.5
2833,2835,4,448.0,407.0
2839,2842,5,678.3333333333334,436.3333333333333
2847,2853,7,368.375,347.25
2866,2873,9,544.8,431.6
2876,2885,11,774.0833333333334,440.75
2889,2910,12,444.9230769230769,366.84615384615387
2912,2920,9,548.3,442.3
2923,2930,9,434.2,470.8
2932,2943,13,511.57142857142856,413.64285714285717
2946,2955,10,344.6363636363636,352.8181818181818
2958,2960,4,750.6,391.2
2962,2964,5,729.5,385.5
2967,2985,19,944.8,424.85
2988,3007,21,481.5,369.3636363636364
3007,3010,3,429.0,327.75
3011,3016,6,463.85714285714283,326.85714285714283
3026,3040,14,683.6666666666666,369.8666666666667
3041,3062,23,475.0416666666667,402.5
3065,3091,28,221.10344827586206,273.55172413793105
3092,3105,14,243.6,265.4
3106,3116,10,381.45454545454544,351.90909090909093
3133,3139,8,350.44444444444446,349.1111111111111
3140,3146,7,276.625,355.0
3147,3172,26,261.51851851851853,316.6296296296296
3173,3183,11,359.4166666666667,368.75
3186,3191,6,241.85714285714286,298.0
3191,3195,4,232.0,253.0
3195,3198,3,245.5,238.0
3207,3215,9,299.7,252.8
3216,3223,7,229.125,230.5
3224,3232,8,331.44444444444446,267.22222222222223
3242,3254,12,309.53846153846155,273.6923076923077
3255,3259,5,293.3333333333333,313.6666666666667
3260,3264,6,212.14285714285714,299.85714285714283
3266,3271,6,227.28571428571428,290.85714285714283
3271,3279,8,261.77777777777777,305.77777777777777
3280,3286,8,323.22222222222223,313.3333333333333
3298,3302,6,373.14285714285717,314.0
3303,3307,5,361.1666666666667,328.3333333333333
3310,3316,7,250.625,317.375
3319,3330,12,380.9230769230769,346.61538461538464
3331,3341,12,379.0,343.0
3343,3346,5,396.3333333333333,317.3333333333333
3348,3350,3,457.5,332.0
3352,3353,4,437.8,369.2
3354,3360,7,368.0,386.5
3361,3363,3,347.25,353.5
3366,3367,3,70.75,295.5
3373,3374,3,119.5,329.25
3374,3378,4,1.4,290.0
3379,3382,4,11.6,248.0
3382,3383,3,44.0,235.5
3384,3387,3,74.25,249.5
3388,3392,6,77.71428571428571,262.42857142857144
3393,3397,4,24.2,256.4
3399,3401,4,48.2,261.0
3403,3412,10,1.9090909090909092,216.0
3412,3413,3,25.25,211.0
3414,3420,6,7.714285714285714,208.42857142857142
3421,3423,4,3.6,225.0
3434,3439,6,3.142857142857143,246.42857142857142
3443,3444,3,123.5,215.5
3446,3448,3,136.5,260.0
3451,3455,5,289.3333333333333,315.1666666666667
3456,3464,9,287.3,277.5
3465,3472,7,264.25,273.5
3472,3480,9,308.6,287.5
3481,3489,9,335.9,285.5
3499,3506,9,395.8,295.5
3507,3529,22,408.7826086956522,299.69565217391306
3529,3532,3,372.5,328.0
3536,3537,3,0.0,493.25
3538,3546,8,39.0,463.55555555555554
3549,3553,5,625.5,352.5
